judul,abstrak,tahun,id,abstract_clean,methods_extracted,title_clean,topic_label_id
Klasifikasi Musik Tradisional Menggunakan Metode SVM di Kabupaten Kolaka Timur,"Penelitian ini bertujuan untuk melakukan klasifikasi musik tradisional dengan menggunakan metode SVM. Studi kasus dilakukan di Kabupaten Kolaka Timur. Metode SVM dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode SVM memberikan akurasi dan efisiensi yang memadai untuk klasifikasi musik tradisional.",2018,0,penelitian ini bertujuan untuk melakukan klasifikasi musik tradisional dengan menggunakan metode svm. studi kasus dilakukan di kabupaten kolaka timur. metode svm dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode svm memberikan akurasi dan efisiensi yang memadai untuk klasifikasi musik tradisional.,svm,klasifikasi musik tradisional menggunakan metode svm di kabupaten kolaka timur,0
Klasifikasi Musik Tradisional Menggunakan Metode Transformer berbasis Android,"Penelitian ini bertujuan untuk melakukan klasifikasi musik tradisional dengan menggunakan metode Transformer. Studi kasus dilakukan berbasis Android. Metode Transformer dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Transformer memberikan akurasi dan efisiensi yang memadai untuk klasifikasi musik tradisional.",2015,1,penelitian ini bertujuan untuk melakukan klasifikasi musik tradisional dengan menggunakan metode transformer. studi kasus dilakukan berbasis android. metode transformer dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode transformer memberikan akurasi dan efisiensi yang memadai untuk klasifikasi musik tradisional.,transformer,klasifikasi musik tradisional menggunakan metode transformer berbasis android,0
Clusterisasi Data Wisatawan Menggunakan Metode RNN menggunakan Data BMKG,"Penelitian ini bertujuan untuk melakukan clusterisasi data wisatawan dengan menggunakan metode RNN. Studi kasus dilakukan menggunakan Data BMKG. Metode RNN dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode RNN memberikan akurasi dan efisiensi yang memadai untuk clusterisasi data wisatawan.",2023,2,penelitian ini bertujuan untuk melakukan clusterisasi data wisatawan dengan menggunakan metode rnn. studi kasus dilakukan menggunakan data bmkg. metode rnn dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode rnn memberikan akurasi dan efisiensi yang memadai untuk clusterisasi data wisatawan.,rnn,clusterisasi data wisatawan menggunakan metode rnn menggunakan data bmkg,2
Deteksi Serangan Siber Menggunakan Metode LSTM di Lingkungan Pemerintah Daerah,"Penelitian ini bertujuan untuk melakukan deteksi serangan siber dengan menggunakan metode LSTM. Studi kasus dilakukan di Lingkungan Pemerintah Daerah. Metode LSTM dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode LSTM memberikan akurasi dan efisiensi yang memadai untuk deteksi serangan siber.",2024,3,penelitian ini bertujuan untuk melakukan deteksi serangan siber dengan menggunakan metode lstm. studi kasus dilakukan di lingkungan pemerintah daerah. metode lstm dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode lstm memberikan akurasi dan efisiensi yang memadai untuk deteksi serangan siber.,lstm,deteksi serangan siber menggunakan metode lstm di lingkungan pemerintah daerah,0
Prediksi Cuaca Harian Menggunakan Metode RNN berbasis IoT,"Penelitian ini bertujuan untuk melakukan prediksi cuaca harian dengan menggunakan metode RNN. Studi kasus dilakukan berbasis IoT. Metode RNN dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode RNN memberikan akurasi dan efisiensi yang memadai untuk prediksi cuaca harian.",2022,4,penelitian ini bertujuan untuk melakukan prediksi cuaca harian dengan menggunakan metode rnn. studi kasus dilakukan berbasis iot. metode rnn dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode rnn memberikan akurasi dan efisiensi yang memadai untuk prediksi cuaca harian.,rnn,prediksi cuaca harian menggunakan metode rnn berbasis iot,0
Deteksi Emosi pada Teks Menggunakan Metode YOLOv8 di Kabupaten Kolaka Timur,"Penelitian ini bertujuan untuk melakukan deteksi emosi pada teks dengan menggunakan metode YOLOv8. Studi kasus dilakukan di Kabupaten Kolaka Timur. Metode YOLOv8 dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode YOLOv8 memberikan akurasi dan efisiensi yang memadai untuk deteksi emosi pada teks.",2015,5,penelitian ini bertujuan untuk melakukan deteksi emosi pada teks dengan menggunakan metode yolov8. studi kasus dilakukan di kabupaten kolaka timur. metode yolov8 dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode yolov8 memberikan akurasi dan efisiensi yang memadai untuk deteksi emosi pada teks.,yolov8,deteksi emosi pada teks menggunakan metode yolov8 di kabupaten kolaka timur,0
Deteksi Emosi pada Teks Menggunakan Metode Naive Bayes pada Dataset Kesehatan Nasional,"Penelitian ini bertujuan untuk melakukan deteksi emosi pada teks dengan menggunakan metode Naive Bayes. Studi kasus dilakukan pada Dataset Kesehatan Nasional. Metode Naive Bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Naive Bayes memberikan akurasi dan efisiensi yang memadai untuk deteksi emosi pada teks.",2023,6,penelitian ini bertujuan untuk melakukan deteksi emosi pada teks dengan menggunakan metode naive bayes. studi kasus dilakukan pada dataset kesehatan nasional. metode naive bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode naive bayes memberikan akurasi dan efisiensi yang memadai untuk deteksi emosi pada teks.,naive bayes,deteksi emosi pada teks menggunakan metode naive bayes pada dataset kesehatan nasional,0
Pengenalan Wajah untuk Absensi Menggunakan Metode SVM pada Mahasiswa Universitas Halu Oleo,"Penelitian ini bertujuan untuk melakukan pengenalan wajah untuk absensi dengan menggunakan metode SVM. Studi kasus dilakukan pada Mahasiswa Universitas Halu Oleo. Metode SVM dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode SVM memberikan akurasi dan efisiensi yang memadai untuk pengenalan wajah untuk absensi.",2024,7,penelitian ini bertujuan untuk melakukan pengenalan wajah untuk absensi dengan menggunakan metode svm. studi kasus dilakukan pada mahasiswa universitas halu oleo. metode svm dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode svm memberikan akurasi dan efisiensi yang memadai untuk pengenalan wajah untuk absensi.,svm,pengenalan wajah untuk absensi menggunakan metode svm pada mahasiswa universitas halu oleo,4
Deteksi Serangan Siber Menggunakan Metode LSTM berbasis IoT,"Penelitian ini bertujuan untuk melakukan deteksi serangan siber dengan menggunakan metode LSTM. Studi kasus dilakukan berbasis IoT. Metode LSTM dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode LSTM memberikan akurasi dan efisiensi yang memadai untuk deteksi serangan siber.",2024,8,penelitian ini bertujuan untuk melakukan deteksi serangan siber dengan menggunakan metode lstm. studi kasus dilakukan berbasis iot. metode lstm dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode lstm memberikan akurasi dan efisiensi yang memadai untuk deteksi serangan siber.,lstm,deteksi serangan siber menggunakan metode lstm berbasis iot,0
Deteksi Emosi pada Teks Menggunakan Metode ARIMA di Lingkungan Pemerintah Daerah,"Penelitian ini bertujuan untuk melakukan deteksi emosi pada teks dengan menggunakan metode ARIMA. Studi kasus dilakukan di Lingkungan Pemerintah Daerah. Metode ARIMA dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode ARIMA memberikan akurasi dan efisiensi yang memadai untuk deteksi emosi pada teks.",2015,9,penelitian ini bertujuan untuk melakukan deteksi emosi pada teks dengan menggunakan metode arima. studi kasus dilakukan di lingkungan pemerintah daerah. metode arima dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode arima memberikan akurasi dan efisiensi yang memadai untuk deteksi emosi pada teks.,,deteksi emosi pada teks menggunakan metode arima di lingkungan pemerintah daerah,0
